Date Of Release,Pearsons Correlation,Spearmans Correlation,Variable
2019-02-02,0.4836602638755809,0.5782196551594769,salt
2019-02-03,0.5656728106697494,0.8021150619881305,salt
2019-02-04,0.571741156147552,0.842329261245793,salt
2019-02-05,0.6239491569499706,0.8494471793787624,salt
2019-02-06,0.5435434436667361,0.6988301737948797,salt
2019-02-07,0.5701620672605103,0.6823346691803115,salt
2019-02-08,0.6097367535696855,0.7585420828628765,salt
2019-02-09,0.6945729701647493,0.8181520467893778,salt
2019-02-10,0.7119789472468891,0.8232844516406298,salt
2019-02-11,0.40030671220350716,0.49765998863582983,salt
2019-02-12,0.6595889706899436,0.6833880437371032,salt
2019-02-13,0.5377489303191239,0.8037937650736766,salt
2019-02-14,0.46981080038003603,0.7832105687863313,salt
2019-02-15,0.4065033818974593,0.7840158604519477,salt
2019-02-16,0.4978047602181257,0.7729485620388982,salt
2019-02-02,0.38138825422660055,0.2182375786720512,Ar
2019-02-03,0.38283184571264894,0.29325979842336514,Ar
2019-02-04,0.5031704285539504,0.5292641244093359,Ar
2019-02-05,0.5874367135498291,0.6162294622158554,Ar
2019-02-06,0.5761564525023436,0.6917424765674401,Ar
2019-02-07,0.5597741396661565,0.6053963278239495,Ar
2019-02-08,0.511276071174055,0.6689102945009117,Ar
2019-02-09,0.6959661196609843,0.8275208017779133,Ar
2019-02-10,0.6932046352866302,0.8156668650724518,Ar
2019-02-11,0.2743093798301848,0.36256419887414687,Ar
2019-02-12,0.5445566419679774,0.23765257456764563,Ar
2019-02-13,0.5270879042590912,0.8096642525291583,Ar
2019-02-14,0.42823685254200394,0.6113191853579404,Ar
2019-02-15,0.39391329793555957,0.6390558247982617,Ar
2019-02-16,0.5022882649073281,0.6815129316593939,Ar
2019-02-02,-0.1718962797253248,-0.1671059644555327,CSChl
2019-02-03,-0.11435805948983521,-0.11147382690564733,CSChl
2019-02-04,-0.010701410585323982,-0.09470703842765135,CSChl
2019-02-05,0.11861172124405893,0.06341230491831051,CSChl
2019-02-06,0.3375667454169685,0.2369733847922233,CSChl
2019-02-07,0.020425844122046108,0.03244671079526725,CSChl
2019-02-08,-0.10490472618522544,0.38770556859281335,CSChl
2019-02-09,-0.16619414903674268,0.0032225230728367914,CSChl
2019-02-10,-0.1875580388348542,-0.11549742406688797,CSChl
2019-02-11,-0.11614631119175056,-0.15934698801268365,CSChl
2019-02-12,0.09603239356312065,0.10479771189520719,CSChl
2019-02-13,0.21456710184113365,0.13508245419971412,CSChl
2019-02-14,0.37311541233929757,0.3475069004965173,CSChl
2019-02-15,0.2268979292000779,0.3004403728670347,CSChl
2019-02-16,0.1255459261107453,0.33627413855852706,CSChl
2019-02-02,0.13249737336324002,-0.15747787000790997,pH
2019-02-03,0.09884989142084583,-0.6507621547000273,pH
2019-02-04,0.08684117311219323,-0.6445472800535152,pH
2019-02-05,0.10728434225795919,-0.7209377811863276,pH
2019-02-06,0.012234549398705233,-0.8018913146909676,pH
2019-02-07,-0.0497892282144305,-0.7025118365885273,pH
2019-02-08,0.38681101651866057,0.17652872696493185,pH
2019-02-09,0.13104241087740073,-0.3202963689935439,pH
2019-02-10,-0.021871655673292738,-0.4075404063157252,pH
2019-02-11,-0.06201957553590979,-0.44406874904066,pH
2019-02-12,0.12339610937570131,-0.4418684188647937,pH
2019-02-13,0.17136389310647393,-0.024352226575207074,pH
2019-02-14,0.09585336850654255,-0.37694546923494937,pH
2019-02-15,0.13687036924527243,0.023086630076377006,pH
2019-02-16,0.27706704168725904,0.28181758307549043,pH
2019-02-02,0.23307414374864507,-0.10990331173328885,DIC
2019-02-03,0.4248228114323291,0.36590471301564303,DIC
2019-02-04,0.47954639675244176,0.5614453416144604,DIC
2019-02-05,0.6035252566950452,0.8330031743347457,DIC
2019-02-06,0.5284833207159353,0.6491620740377257,DIC
2019-02-07,0.5267461475586089,0.5997765634752849,DIC
2019-02-08,0.5235627903064043,0.6616007517781701,DIC
2019-02-09,0.6442661357434287,0.7676048299640407,DIC
2019-02-10,0.6692509385973953,0.8100409139888816,DIC
2019-02-11,0.25916855439551,0.4391966863625454,DIC
2019-02-12,0.5948721880406797,0.5788399224717863,DIC
2019-02-13,0.49075844851329953,0.8100446175909336,DIC
2019-02-14,0.3864750454015964,0.8406104954265581,DIC
2019-02-15,0.3148738252487131,0.780375365434336,DIC
2019-02-16,0.40081737043318233,0.7506198846358378,DIC
2019-02-02,0.7078416567310072,0.6844162018522002,Chl
2019-02-03,0.5311295695102208,0.5944144489353321,Chl
2019-02-04,0.23331651307462725,0.31085706014666,Chl
2019-02-05,0.06793876652709596,0.09057048103656032,Chl
2019-02-06,0.13951958579804025,0.2216232895265277,Chl
2019-02-07,0.07363341732203324,0.09914220660209169,Chl
2019-02-08,0.5521853852276437,0.7021827904884312,Chl
2019-02-09,0.0202952025418945,0.10870227648169045,Chl
2019-02-10,0.021774678680244852,0.01007016213104249,Chl
2019-02-11,0.30069176238908446,0.32826305906042985,Chl
2019-02-12,0.4068164636636883,0.3272638602345369,Chl
2019-02-13,0.18658010203838366,0.1738408771950552,Chl
2019-02-14,0.1514890194734124,0.04694769019046207,Chl
2019-02-15,0.06182336005068434,-0.013676643671503026,Chl
2019-02-16,0.1173792452884075,0.004437141658538982,Chl
